"","Smp","Method_other","Acc_other","Acc_panctc"
"1","Cervix_PreT1_n100","CTCTracer",0,1
"2","Cervix_PreT1_n100","CTCTracer",0,1
"3","Cervix_PreT1_n10","CTCTracer",0,1
"4","Cervix_PreT1_n10","CTCTracer",0,1
"5","Cervix_PreT1_n25","CTCTracer",0,1
"6","Cervix_PreT1_n25","CTCTracer",0,0.92
"7","Cervix_PreT1_n3","CTCTracer",0,1
"8","Cervix_PreT1_n3","CTCTracer",0,1
"9","Cervix_PreT2_n100","CTCTracer",0,0.99
"10","Cervix_PreT2_n100","CTCTracer",0,0.98
"11","Cervix_PreT2_n10","CTCTracer",0,1
"12","Cervix_PreT2_n10","CTCTracer",0,1
"13","Cervix_PreT2_n25","CTCTracer",0,0.96
"14","Cervix_PreT2_n25","CTCTracer",0,0.92
"15","Cervix_PreT2_n3","CTCTracer",0,1
"16","Cervix_PreT2_n3","CTCTracer",0,1
"17","Cervix_PreT3_n100","CTCTracer",0,1
"18","Cervix_PreT3_n100","CTCTracer",0,0.99
"19","Cervix_PreT3_n10","CTCTracer",0,1
"20","Cervix_PreT3_n10","CTCTracer",0,1
"21","Cervix_PreT3_n25","CTCTracer",0,1
"22","Cervix_PreT3_n25","CTCTracer",0,1
"23","Cervix_PreT3_n3","CTCTracer",0,1
"24","Cervix_PreT3_n3","CTCTracer",0,1
"25","Cervix_T2Dur3_n100","CTCTracer",0,0.94
"26","Cervix_T2Dur3_n100","CTCTracer",0,0.93
"27","Cervix_T2Dur3_n10","CTCTracer",0,1
"28","Cervix_T2Dur3_n10","CTCTracer",0,0.8
"29","Cervix_T2Dur3_n25","CTCTracer",0,1
"30","Cervix_T2Dur3_n25","CTCTracer",0,0.92
"31","Cervix_T2Dur3_n3","CTCTracer",0,1
"32","Cervix_T2Dur3_n3","CTCTracer",0,0.666666667
"33","Cervix_T3Dur3_n100","CTCTracer",0,0.98
"34","Cervix_T3Dur3_n100","CTCTracer",0,0.96
"35","Cervix_T3Dur3_n10","CTCTracer",0,1
"36","Cervix_T3Dur3_n10","CTCTracer",0,0.9
"37","Cervix_T3Dur3_n25","CTCTracer",0,0.96
"38","Cervix_T3Dur3_n25","CTCTracer",0,0.96
"39","Cervix_T3Dur3_n3","CTCTracer",0,1
"40","Cervix_T3Dur3_n3","CTCTracer",0,1
"41","Cervix_Tumorhn115_n100","CTCTracer",0,0.99
"42","Cervix_Tumorhn115_n100","CTCTracer",0,1
"43","Cervix_Tumorhn115_n10","CTCTracer",0,1
"44","Cervix_Tumorhn115_n10","CTCTracer",0,1
"45","Cervix_Tumorhn115_n25","CTCTracer",0,1
"46","Cervix_Tumorhn115_n25","CTCTracer",0,1
"47","Cervix_Tumorhn115_n3","CTCTracer",0,1
"48","Cervix_Tumorhn115_n3","CTCTracer",0,0.666666667
"49","E-MTAB-11948_Cervix_Epi_n100","CTCTracer",0,1
"50","E-MTAB-11948_Cervix_Epi_n100","CTCTracer",0,1
"51","E-MTAB-11948_Cervix_Epi_n10","CTCTracer",0,1
"52","E-MTAB-11948_Cervix_Epi_n10","CTCTracer",0,1
"53","E-MTAB-11948_Cervix_Epi_n25","CTCTracer",0,1
"54","E-MTAB-11948_Cervix_Epi_n25","CTCTracer",0,1
"55","E-MTAB-11948_Cervix_Epi_n3","CTCTracer",0,1
"56","E-MTAB-11948_Cervix_Epi_n3","CTCTracer",0,1
"57","GSE132465_CRC_Epi_n100","CTCTracer",0,0.98
"58","GSE132465_CRC_Epi_n100","CTCTracer",0,0.98
"59","GSE132465_CRC_Epi_n10","CTCTracer",0,1
"60","GSE132465_CRC_Epi_n10","CTCTracer",0,1
"61","GSE132465_CRC_Epi_n25","CTCTracer",0,1
"62","GSE132465_CRC_Epi_n25","CTCTracer",0,1
"63","GSE132465_CRC_Epi_n3","CTCTracer",0,1
"64","GSE132465_CRC_Epi_n3","CTCTracer",0,1
"65","GSE148071_LUNG_Epi_n100","CTCTracer",0.95,0.99
"66","GSE148071_LUNG_Epi_n100","CTCTracer",0.95,1
"67","GSE148071_LUNG_Epi_n10","CTCTracer",1,1
"68","GSE148071_LUNG_Epi_n10","CTCTracer",1,1
"69","GSE148071_LUNG_Epi_n25","CTCTracer",0.92,1
"70","GSE148071_LUNG_Epi_n25","CTCTracer",0.92,1
"71","GSE148071_LUNG_Epi_n3","CTCTracer",1,1
"72","GSE148071_LUNG_Epi_n3","CTCTracer",1,1
"73","GSE149614_HCC_Epi_n100","CTCTracer",0.95,1
"74","GSE149614_HCC_Epi_n100","CTCTracer",0.95,1
"75","GSE149614_HCC_Epi_n10","CTCTracer",0.9,1
"76","GSE149614_HCC_Epi_n10","CTCTracer",0.9,1
"77","GSE149614_HCC_Epi_n25","CTCTracer",0.96,1
"78","GSE149614_HCC_Epi_n25","CTCTracer",0.96,1
"79","GSE149614_HCC_Epi_n3","CTCTracer",1,1
"80","GSE149614_HCC_Epi_n3","CTCTracer",1,1
"81","GSE150430_NPC_Epi_n100","CTCTracer",0,1
"82","GSE150430_NPC_Epi_n100","CTCTracer",0,1
"83","GSE150430_NPC_Epi_n10","CTCTracer",0,1
"84","GSE150430_NPC_Epi_n10","CTCTracer",0,1
"85","GSE150430_NPC_Epi_n25","CTCTracer",0,1
"86","GSE150430_NPC_Epi_n25","CTCTracer",0,1
"87","GSE150430_NPC_Epi_n3","CTCTracer",0,1
"88","GSE150430_NPC_Epi_n3","CTCTracer",0,1
"89","GSE150825_NPC_Epi_n100","CTCTracer",0,0.91
"90","GSE150825_NPC_Epi_n100","CTCTracer",0,0.93
"91","GSE150825_NPC_Epi_n10","CTCTracer",0,0.9
"92","GSE150825_NPC_Epi_n10","CTCTracer",0,0.9
"93","GSE150825_NPC_Epi_n25","CTCTracer",0,0.84
"94","GSE150825_NPC_Epi_n25","CTCTracer",0,0.96
"95","GSE150825_NPC_Epi_n3","CTCTracer",0,1
"96","GSE150825_NPC_Epi_n3","CTCTracer",0,1
"97","GSE155698_PDAC_Epi_n100","CTCTracer",0,0.99
"98","GSE155698_PDAC_Epi_n100","CTCTracer",0,0.97
"99","GSE155698_PDAC_Epi_n10","CTCTracer",0,0.9
"100","GSE155698_PDAC_Epi_n10","CTCTracer",0,1
"101","GSE155698_PDAC_Epi_n25","CTCTracer",0,1
"102","GSE155698_PDAC_Epi_n25","CTCTracer",0,0.96
"103","GSE155698_PDAC_Epi_n3","CTCTracer",0,1
"104","GSE155698_PDAC_Epi_n3","CTCTracer",0,1
"105","GSE162025_NPC_Epi_n100","CTCTracer",0,0.99
"106","GSE162025_NPC_Epi_n100","CTCTracer",0,0.99
"107","GSE162025_NPC_Epi_n10","CTCTracer",0,1
"108","GSE162025_NPC_Epi_n10","CTCTracer",0,1
"109","GSE162025_NPC_Epi_n25","CTCTracer",0,1
"110","GSE162025_NPC_Epi_n25","CTCTracer",0,1
"111","GSE162025_NPC_Epi_n3","CTCTracer",0,1
"112","GSE162025_NPC_Epi_n3","CTCTracer",0,1
"113","GSE168652_Cervix_Epi_n100","CTCTracer",0,1
"114","GSE168652_Cervix_Epi_n100","CTCTracer",0,1
"115","GSE168652_Cervix_Epi_n10","CTCTracer",0,0.9
"116","GSE168652_Cervix_Epi_n10","CTCTracer",0,1
"117","GSE168652_Cervix_Epi_n25","CTCTracer",0,1
"118","GSE168652_Cervix_Epi_n25","CTCTracer",0,1
"119","GSE168652_Cervix_Epi_n3","CTCTracer",0,1
"120","GSE168652_Cervix_Epi_n3","CTCTracer",0,1
"121","GSE173682_Endome_Epi_n100","CTCTracer",0,1
"122","GSE173682_Endome_Epi_n100","CTCTracer",0,1
"123","GSE173682_Endome_Epi_n10","CTCTracer",0,1
"124","GSE173682_Endome_Epi_n10","CTCTracer",0,1
"125","GSE173682_Endome_Epi_n25","CTCTracer",0,1
"126","GSE173682_Endome_Epi_n25","CTCTracer",0,1
"127","GSE173682_Endome_Epi_n3","CTCTracer",0,1
"128","GSE173682_Endome_Epi_n3","CTCTracer",0,1
"129","GSE173682_Ovarian_Epi_n100","CTCTracer",0,0.99
"130","GSE173682_Ovarian_Epi_n100","CTCTracer",0,0.99
"131","GSE173682_Ovarian_Epi_n10","CTCTracer",0,1
"132","GSE173682_Ovarian_Epi_n10","CTCTracer",0,1
"133","GSE173682_Ovarian_Epi_n25","CTCTracer",0,1
"134","GSE173682_Ovarian_Epi_n25","CTCTracer",0,1
"135","GSE173682_Ovarian_Epi_n3","CTCTracer",0,1
"136","GSE173682_Ovarian_Epi_n3","CTCTracer",0,1
"137","GSE176031_Prostate_Epi_n100","CTCTracer",1,0.99
"138","GSE176031_Prostate_Epi_n100","CTCTracer",1,1
"139","GSE176031_Prostate_Epi_n10","CTCTracer",1,1
"140","GSE176031_Prostate_Epi_n10","CTCTracer",1,1
"141","GSE176031_Prostate_Epi_n25","CTCTracer",1,1
"142","GSE176031_Prostate_Epi_n25","CTCTracer",1,1
"143","GSE176031_Prostate_Epi_n3","CTCTracer",1,0.666666667
"144","GSE176031_Prostate_Epi_n3","CTCTracer",1,1
"145","GSE176078_BC_Epi_n100","CTCTracer",0,0.98
"146","GSE176078_BC_Epi_n100","CTCTracer",0,0.98
"147","GSE176078_BC_Epi_n10","CTCTracer",0,1
"148","GSE176078_BC_Epi_n10","CTCTracer",0,1
"149","GSE176078_BC_Epi_n25","CTCTracer",0,1
"150","GSE176078_BC_Epi_n25","CTCTracer",0,0.92
"151","GSE176078_BC_Epi_n3","CTCTracer",0,1
"152","GSE176078_BC_Epi_n3","CTCTracer",0,1
"153","GSE178318_CRC_Epi_n100","CTCTracer",0,0.96
"154","GSE178318_CRC_Epi_n100","CTCTracer",0,0.99
"155","GSE178318_CRC_Epi_n10","CTCTracer",0,0.8
"156","GSE178318_CRC_Epi_n10","CTCTracer",0,1
"157","GSE178318_CRC_Epi_n25","CTCTracer",0,1
"158","GSE178318_CRC_Epi_n25","CTCTracer",0,0.96
"159","GSE178318_CRC_Epi_n3","CTCTracer",0,1
"160","GSE178318_CRC_Epi_n3","CTCTracer",0,1
"161","GSE193337_Prostate_Epi_n100","CTCTracer",1,1
"162","GSE193337_Prostate_Epi_n100","CTCTracer",1,0.99
"163","GSE193337_Prostate_Epi_n10","CTCTracer",1,1
"164","GSE193337_Prostate_Epi_n10","CTCTracer",1,0.9
"165","GSE193337_Prostate_Epi_n25","CTCTracer",1,0.96
"166","GSE193337_Prostate_Epi_n25","CTCTracer",1,1
"167","GSE193337_Prostate_Epi_n3","CTCTracer",1,1
"168","GSE193337_Prostate_Epi_n3","CTCTracer",1,1
"169","GSE215120_Melanoma_n100","CTCTracer",0.99,1
"170","GSE215120_Melanoma_n100","CTCTracer",0.99,1
"171","GSE215120_Melanoma_n10","CTCTracer",1,1
"172","GSE215120_Melanoma_n10","CTCTracer",1,1
"173","GSE215120_Melanoma_n25","CTCTracer",0.96,1
"174","GSE215120_Melanoma_n25","CTCTracer",0.96,1
"175","GSE215120_Melanoma_n3","CTCTracer",1,1
"176","GSE215120_Melanoma_n3","CTCTracer",1,1
"177","GSM3946506_Mela_cl_n100","CTCTracer",0.65,1
"178","GSM3946506_Mela_cl_n100","CTCTracer",0.65,1
"179","GSM3946506_Mela_cl_n10","CTCTracer",0.7,1
"180","GSM3946506_Mela_cl_n10","CTCTracer",0.7,1
"181","GSM3946506_Mela_cl_n25","CTCTracer",0.48,1
"182","GSM3946506_Mela_cl_n25","CTCTracer",0.48,1
"183","GSM3946506_Mela_cl_n3","CTCTracer",0.333333333,1
"184","GSM3946506_Mela_cl_n3","CTCTracer",0.333333333,1
"185","OMIX001073_GC_Epi_n100","CTCTracer",0,0.99
"186","OMIX001073_GC_Epi_n100","CTCTracer",0,0.99
"187","OMIX001073_GC_Epi_n10","CTCTracer",0,1
"188","OMIX001073_GC_Epi_n10","CTCTracer",0,1
"189","OMIX001073_GC_Epi_n25","CTCTracer",0,1
"190","OMIX001073_GC_Epi_n25","CTCTracer",0,1
"191","OMIX001073_GC_Epi_n3","CTCTracer",0,1
"192","OMIX001073_GC_Epi_n3","CTCTracer",0,1
"193","E-MTAB-11948_Cervix_Epi_n3","scATOMIC",0,1
"194","E-MTAB-11948_Cervix_Epi_n3","scATOMIC",0,1
"195","E-MTAB-11948_Cervix_Epi_n10","scATOMIC",0,1
"196","E-MTAB-11948_Cervix_Epi_n10","scATOMIC",0,1
"197","E-MTAB-11948_Cervix_Epi_n25","scATOMIC",0,1
"198","E-MTAB-11948_Cervix_Epi_n25","scATOMIC",0,1
"199","E-MTAB-11948_Cervix_Epi_n100","scATOMIC",0,1
"200","E-MTAB-11948_Cervix_Epi_n100","scATOMIC",0,1
"201","GSE132465_CRC_Epi_n3","scATOMIC",0.666666667,1
"202","GSE132465_CRC_Epi_n3","scATOMIC",0.666666667,1
"203","GSE132465_CRC_Epi_n10","scATOMIC",0.9,1
"204","GSE132465_CRC_Epi_n10","scATOMIC",0.9,1
"205","GSE132465_CRC_Epi_n25","scATOMIC",0.96,1
"206","GSE132465_CRC_Epi_n25","scATOMIC",0.96,1
"207","GSE132465_CRC_Epi_n100","scATOMIC",1,0.98
"208","GSE132465_CRC_Epi_n100","scATOMIC",1,0.98
"209","GSE155698_PDAC_Epi_n3","scATOMIC",0,1
"210","GSE155698_PDAC_Epi_n3","scATOMIC",0,1
"211","GSE155698_PDAC_Epi_n10","scATOMIC",1,0.9
"212","GSE155698_PDAC_Epi_n10","scATOMIC",1,1
"213","GSE155698_PDAC_Epi_n25","scATOMIC",1,1
"214","GSE155698_PDAC_Epi_n25","scATOMIC",1,0.96
"215","GSE155698_PDAC_Epi_n100","scATOMIC",1,0.99
"216","GSE155698_PDAC_Epi_n100","scATOMIC",1,0.97
"217","GSE162025_NPC_Epi_n3","scATOMIC",0,1
"218","GSE162025_NPC_Epi_n3","scATOMIC",0,1
"219","GSE162025_NPC_Epi_n10","scATOMIC",0,1
"220","GSE162025_NPC_Epi_n10","scATOMIC",0,1
"221","GSE162025_NPC_Epi_n25","scATOMIC",0,1
"222","GSE162025_NPC_Epi_n25","scATOMIC",0,1
"223","GSE162025_NPC_Epi_n100","scATOMIC",0,0.99
"224","GSE162025_NPC_Epi_n100","scATOMIC",0,0.99
"225","GSE168652_Cervix_Epi_n3","scATOMIC",0,1
"226","GSE168652_Cervix_Epi_n3","scATOMIC",0,1
"227","GSE168652_Cervix_Epi_n10","scATOMIC",0,0.9
"228","GSE168652_Cervix_Epi_n10","scATOMIC",0,1
"229","GSE168652_Cervix_Epi_n25","scATOMIC",0,1
"230","GSE168652_Cervix_Epi_n25","scATOMIC",0,1
"231","GSE168652_Cervix_Epi_n100","scATOMIC",0,1
"232","GSE168652_Cervix_Epi_n100","scATOMIC",0,1
"233","GSE173682_Endome_Epi_n3","scATOMIC",0,1
"234","GSE173682_Endome_Epi_n3","scATOMIC",0,1
"235","GSE173682_Endome_Epi_n10","scATOMIC",1,1
"236","GSE173682_Endome_Epi_n10","scATOMIC",1,1
"237","GSE173682_Endome_Epi_n25","scATOMIC",0,1
"238","GSE173682_Endome_Epi_n25","scATOMIC",0,1
"239","GSE173682_Endome_Epi_n100","scATOMIC",1,1
"240","GSE173682_Endome_Epi_n100","scATOMIC",1,1
"241","GSE173682_Ovarian_Epi_n3","scATOMIC",1,1
"242","GSE173682_Ovarian_Epi_n3","scATOMIC",1,1
"243","GSE173682_Ovarian_Epi_n10","scATOMIC",1,1
"244","GSE173682_Ovarian_Epi_n10","scATOMIC",1,1
"245","GSE173682_Ovarian_Epi_n25","scATOMIC",1,1
"246","GSE173682_Ovarian_Epi_n25","scATOMIC",1,1
"247","GSE173682_Ovarian_Epi_n100","scATOMIC",1,0.99
"248","GSE173682_Ovarian_Epi_n100","scATOMIC",1,0.99
"249","GSE176078_BC_Epi_n3","scATOMIC",0,1
"250","GSE176078_BC_Epi_n3","scATOMIC",0,1
"251","GSE176078_BC_Epi_n10","scATOMIC",0.9,1
"252","GSE176078_BC_Epi_n10","scATOMIC",0.9,1
"253","GSE176078_BC_Epi_n25","scATOMIC",1,1
"254","GSE176078_BC_Epi_n25","scATOMIC",1,0.92
"255","GSE176078_BC_Epi_n100","scATOMIC",1,0.98
"256","GSE176078_BC_Epi_n100","scATOMIC",1,0.98
"257","GSE178318_CRC_Epi_n3","scATOMIC",1,1
"258","GSE178318_CRC_Epi_n3","scATOMIC",1,1
"259","GSE178318_CRC_Epi_n10","scATOMIC",0,0.8
"260","GSE178318_CRC_Epi_n10","scATOMIC",0,1
"261","GSE178318_CRC_Epi_n25","scATOMIC",1,1
"262","GSE178318_CRC_Epi_n25","scATOMIC",1,0.96
"263","GSE178318_CRC_Epi_n100","scATOMIC",0,0.96
"264","GSE178318_CRC_Epi_n100","scATOMIC",0,0.99
"265","GSE193337_Prostate_Epi_n3","scATOMIC",0,1
"266","GSE193337_Prostate_Epi_n3","scATOMIC",0,1
"267","GSE193337_Prostate_Epi_n10","scATOMIC",1,1
"268","GSE193337_Prostate_Epi_n10","scATOMIC",1,0.9
"269","GSE193337_Prostate_Epi_n25","scATOMIC",1,0.96
"270","GSE193337_Prostate_Epi_n25","scATOMIC",1,1
"271","GSE193337_Prostate_Epi_n100","scATOMIC",0.5,1
"272","GSE193337_Prostate_Epi_n100","scATOMIC",0.5,0.99
"273","OMIX001073_GC_Epi_n3","scATOMIC",0,1
"274","OMIX001073_GC_Epi_n3","scATOMIC",0,1
"275","OMIX001073_GC_Epi_n10","scATOMIC",0,1
"276","OMIX001073_GC_Epi_n10","scATOMIC",0,1
"277","OMIX001073_GC_Epi_n25","scATOMIC",0,1
"278","OMIX001073_GC_Epi_n25","scATOMIC",0,1
"279","OMIX001073_GC_Epi_n100","scATOMIC",0,0.99
"280","OMIX001073_GC_Epi_n100","scATOMIC",0,0.99
"281","GSE148071_LUNG_Epi_n3","scATOMIC",0,1
"282","GSE148071_LUNG_Epi_n3","scATOMIC",0,1
"283","GSE148071_LUNG_Epi_n10","scATOMIC",0,1
"284","GSE148071_LUNG_Epi_n10","scATOMIC",0,1
"285","GSE148071_LUNG_Epi_n25","scATOMIC",0,1
"286","GSE148071_LUNG_Epi_n25","scATOMIC",0,1
"287","GSE148071_LUNG_Epi_n100","scATOMIC",0,0.99
"288","GSE148071_LUNG_Epi_n100","scATOMIC",0,1
"289","GSE150430_NPC_Epi_n3","scATOMIC",0,1
"290","GSE150430_NPC_Epi_n3","scATOMIC",0,1
"291","GSE150430_NPC_Epi_n10","scATOMIC",0,1
"292","GSE150430_NPC_Epi_n10","scATOMIC",0,1
"293","GSE150430_NPC_Epi_n25","scATOMIC",0,1
"294","GSE150430_NPC_Epi_n25","scATOMIC",0,1
"295","GSE150430_NPC_Epi_n100","scATOMIC",0,1
"296","GSE150430_NPC_Epi_n100","scATOMIC",0,1
"297","GSE150825_NPC_Epi_n3","scATOMIC",0,1
"298","GSE150825_NPC_Epi_n3","scATOMIC",0,1
"299","GSE150825_NPC_Epi_n10","scATOMIC",0,0.9
"300","GSE150825_NPC_Epi_n10","scATOMIC",0,0.9
"301","GSE150825_NPC_Epi_n25","scATOMIC",0,0.84
"302","GSE150825_NPC_Epi_n25","scATOMIC",0,0.96
"303","GSE150825_NPC_Epi_n100","scATOMIC",0,0.91
"304","GSE150825_NPC_Epi_n100","scATOMIC",0,0.93
"305","GSE176031_Prostate_Epi_n3","scATOMIC",0,0.666666667
"306","GSE176031_Prostate_Epi_n3","scATOMIC",0,1
"307","GSE176031_Prostate_Epi_n10","scATOMIC",1,1
"308","GSE176031_Prostate_Epi_n10","scATOMIC",1,1
"309","GSE176031_Prostate_Epi_n25","scATOMIC",1,1
"310","GSE176031_Prostate_Epi_n25","scATOMIC",1,1
"311","GSE176031_Prostate_Epi_n100","scATOMIC",1,0.99
"312","GSE176031_Prostate_Epi_n100","scATOMIC",1,1
"313","GSE149614_HCC_Epi_n3","scATOMIC",0,1
"314","GSE149614_HCC_Epi_n3","scATOMIC",0,1
"315","GSE149614_HCC_Epi_n10","scATOMIC",0.8,1
"316","GSE149614_HCC_Epi_n10","scATOMIC",0.8,1
"317","GSE149614_HCC_Epi_n25","scATOMIC",1,1
"318","GSE149614_HCC_Epi_n25","scATOMIC",1,1
"319","GSE149614_HCC_Epi_n100","scATOMIC",0.4,1
"320","GSE149614_HCC_Epi_n100","scATOMIC",0.4,1
"321","GSM3946506_Mela_cl_n3","scATOMIC",0,1
"322","GSM3946506_Mela_cl_n3","scATOMIC",0,1
"323","GSM3946506_Mela_cl_n10","scATOMIC",1,1
"324","GSM3946506_Mela_cl_n10","scATOMIC",1,1
"325","GSM3946506_Mela_cl_n25","scATOMIC",1,1
"326","GSM3946506_Mela_cl_n25","scATOMIC",1,1
"327","GSM3946506_Mela_cl_n100","scATOMIC",1,1
"328","GSM3946506_Mela_cl_n100","scATOMIC",1,1
"329","GSE215120_Melanoma_n3","scATOMIC",0,1
"330","GSE215120_Melanoma_n3","scATOMIC",0,1
"331","GSE215120_Melanoma_n10","scATOMIC",1,1
"332","GSE215120_Melanoma_n10","scATOMIC",1,1
"333","GSE215120_Melanoma_n25","scATOMIC",1,1
"334","GSE215120_Melanoma_n25","scATOMIC",1,1
"335","GSE215120_Melanoma_n100","scATOMIC",1,1
"336","GSE215120_Melanoma_n100","scATOMIC",1,1
"337","Cervix_PreT1_n3","scATOMIC",0,1
"338","Cervix_PreT1_n3","scATOMIC",0,1
"339","Cervix_PreT1_n10","scATOMIC",0,1
"340","Cervix_PreT1_n10","scATOMIC",0,1
"341","Cervix_PreT1_n25","scATOMIC",0,1
"342","Cervix_PreT1_n25","scATOMIC",0,0.92
"343","Cervix_PreT1_n100","scATOMIC",0,1
"344","Cervix_PreT1_n100","scATOMIC",0,1
"345","Cervix_PreT2_n3","scATOMIC",0,1
"346","Cervix_PreT2_n3","scATOMIC",0,1
"347","Cervix_PreT2_n10","scATOMIC",0,1
"348","Cervix_PreT2_n10","scATOMIC",0,1
"349","Cervix_PreT2_n25","scATOMIC",0,0.96
"350","Cervix_PreT2_n25","scATOMIC",0,0.92
"351","Cervix_PreT2_n100","scATOMIC",0,0.99
"352","Cervix_PreT2_n100","scATOMIC",0,0.98
"353","Cervix_PreT3_n3","scATOMIC",0,1
"354","Cervix_PreT3_n3","scATOMIC",0,1
"355","Cervix_PreT3_n10","scATOMIC",0,1
"356","Cervix_PreT3_n10","scATOMIC",0,1
"357","Cervix_PreT3_n25","scATOMIC",0,1
"358","Cervix_PreT3_n25","scATOMIC",0,1
"359","Cervix_PreT3_n100","scATOMIC",0,1
"360","Cervix_PreT3_n100","scATOMIC",0,0.99
"361","Cervix_T2Dur3_n3","scATOMIC",0,1
"362","Cervix_T2Dur3_n3","scATOMIC",0,0.666666667
"363","Cervix_T2Dur3_n10","scATOMIC",0,1
"364","Cervix_T2Dur3_n10","scATOMIC",0,0.8
"365","Cervix_T2Dur3_n25","scATOMIC",0,1
"366","Cervix_T2Dur3_n25","scATOMIC",0,0.92
"367","Cervix_T2Dur3_n100","scATOMIC",0,0.94
"368","Cervix_T2Dur3_n100","scATOMIC",0,0.93
"369","Cervix_T3Dur3_n3","scATOMIC",0,1
"370","Cervix_T3Dur3_n3","scATOMIC",0,1
"371","Cervix_T3Dur3_n10","scATOMIC",0,1
"372","Cervix_T3Dur3_n10","scATOMIC",0,0.9
"373","Cervix_T3Dur3_n25","scATOMIC",0,0.96
"374","Cervix_T3Dur3_n25","scATOMIC",0,0.96
"375","Cervix_T3Dur3_n100","scATOMIC",0,0.98
"376","Cervix_T3Dur3_n100","scATOMIC",0,0.96
"377","Cervix_Tumorhn115_n3","scATOMIC",0,1
"378","Cervix_Tumorhn115_n3","scATOMIC",0,0.666666667
"379","Cervix_Tumorhn115_n10","scATOMIC",0,1
"380","Cervix_Tumorhn115_n10","scATOMIC",0,1
"381","Cervix_Tumorhn115_n25","scATOMIC",0,1
"382","Cervix_Tumorhn115_n25","scATOMIC",0,1
"383","Cervix_Tumorhn115_n100","scATOMIC",0,0.99
"384","Cervix_Tumorhn115_n100","scATOMIC",0,1
"385","E-MTAB-11948_Cervix_Epi_n3","scfoundation",0.333333333,1
"386","E-MTAB-11948_Cervix_Epi_n3","scfoundation",0.333333333,1
"387","E-MTAB-11948_Cervix_Epi_n10","scfoundation",0.8,1
"388","E-MTAB-11948_Cervix_Epi_n10","scfoundation",0.8,1
"389","E-MTAB-11948_Cervix_Epi_n25","scfoundation",0.44,1
"390","E-MTAB-11948_Cervix_Epi_n25","scfoundation",0.44,1
"391","E-MTAB-11948_Cervix_Epi_n100","scfoundation",0.33,1
"392","E-MTAB-11948_Cervix_Epi_n100","scfoundation",0.33,1
"393","GSE132465_CRC_Epi_n3","scfoundation",1,1
"394","GSE132465_CRC_Epi_n3","scfoundation",1,1
"395","GSE132465_CRC_Epi_n10","scfoundation",0.9,1
"396","GSE132465_CRC_Epi_n10","scfoundation",0.9,1
"397","GSE132465_CRC_Epi_n25","scfoundation",0.88,1
"398","GSE132465_CRC_Epi_n25","scfoundation",0.88,1
"399","GSE132465_CRC_Epi_n100","scfoundation",0.73,0.98
"400","GSE132465_CRC_Epi_n100","scfoundation",0.73,0.98
"401","GSE155698_PDAC_Epi_n3","scfoundation",0,1
"402","GSE155698_PDAC_Epi_n3","scfoundation",0,1
"403","GSE155698_PDAC_Epi_n10","scfoundation",0,0.9
"404","GSE155698_PDAC_Epi_n10","scfoundation",0,1
"405","GSE155698_PDAC_Epi_n25","scfoundation",0.12,1
"406","GSE155698_PDAC_Epi_n25","scfoundation",0.12,0.96
"407","GSE155698_PDAC_Epi_n100","scfoundation",0.06,0.99
"408","GSE155698_PDAC_Epi_n100","scfoundation",0.06,0.97
"409","GSE162025_NPC_Epi_n3","scfoundation",1,1
"410","GSE162025_NPC_Epi_n3","scfoundation",1,1
"411","GSE162025_NPC_Epi_n10","scfoundation",1,1
"412","GSE162025_NPC_Epi_n10","scfoundation",1,1
"413","GSE162025_NPC_Epi_n25","scfoundation",0.96,1
"414","GSE162025_NPC_Epi_n25","scfoundation",0.96,1
"415","GSE162025_NPC_Epi_n100","scfoundation",0.92,0.99
"416","GSE162025_NPC_Epi_n100","scfoundation",0.92,0.99
"417","GSE168652_Cervix_Epi_n3","scfoundation",1,1
"418","GSE168652_Cervix_Epi_n3","scfoundation",1,1
"419","GSE168652_Cervix_Epi_n10","scfoundation",1,0.9
"420","GSE168652_Cervix_Epi_n10","scfoundation",1,1
"421","GSE168652_Cervix_Epi_n25","scfoundation",1,1
"422","GSE168652_Cervix_Epi_n25","scfoundation",1,1
"423","GSE168652_Cervix_Epi_n100","scfoundation",0.99,1
"424","GSE168652_Cervix_Epi_n100","scfoundation",0.99,1
"425","GSE173682_Ovarian_Epi_n3","scfoundation",0,1
"426","GSE173682_Ovarian_Epi_n3","scfoundation",0,1
"427","GSE173682_Ovarian_Epi_n10","scfoundation",0.2,1
"428","GSE173682_Ovarian_Epi_n10","scfoundation",0.2,1
"429","GSE173682_Ovarian_Epi_n25","scfoundation",0.36,1
"430","GSE173682_Ovarian_Epi_n25","scfoundation",0.36,1
"431","GSE173682_Ovarian_Epi_n100","scfoundation",0.3,0.99
"432","GSE173682_Ovarian_Epi_n100","scfoundation",0.3,0.99
"433","GSE176078_BC_Epi_n3","scfoundation",1,1
"434","GSE176078_BC_Epi_n3","scfoundation",1,1
"435","GSE176078_BC_Epi_n10","scfoundation",0.8,1
"436","GSE176078_BC_Epi_n10","scfoundation",0.8,1
"437","GSE176078_BC_Epi_n25","scfoundation",0.92,1
"438","GSE176078_BC_Epi_n25","scfoundation",0.92,0.92
"439","GSE176078_BC_Epi_n100","scfoundation",0.96,0.98
"440","GSE176078_BC_Epi_n100","scfoundation",0.96,0.98
"441","GSE178318_CRC_Epi_n3","scfoundation",0,1
